iter	Passed	Remaining
1293	687282	1666687
1294	687942	1666466
1295	688592	1666224
1296	689150	1665757
1297	689767	1665433
1298	690496	1665377
1299	691128	1665087
1300	691614	1664446
1301	692160	1663950
1302	693753	1665966
1303	694550	1666068
1304	697292	1670830
1305	698566	1672065
1306	699526	1672549
1307	700296	1672573
1308	701332	1673231
1309	702610	1674464
1310	703744	1675351
1311	704406	1675113
1312	704987	1674680
1313	705628	1674391
1314	706655	1675016
1315	707333	1674810
1316	708157	1674950
1317	709079	1675320
1318	710095	1675912
1319	711154	1676601
1320	712191	1677234
1321	713062	1677476
1322	713770	1677332
1323	714346	1676880
1324	714972	1676542
1325	715707	1676460
1326	716481	1676469
1327	717312	1676610
1328	718273	1677053
1329	719128	1677245
1330	719912	1677270
1331	720565	1676991
1332	721241	1676763
1333	721840	1676358
1334	722414	1675893
1335	723053	1675579
1336	723668	1675208
1337	724336	1674961
1338	725007	1674719
1339	725635	1674377
1340	726326	1674178
1341	728141	1676570
1342	728849	1676407
1343	729614	1676375
1344	730106	1675716
1345	730667	1675214
1346	731337	1674964
1347	732080	1674878
1348	732718	1674552
1349	733321	1674145
1350	733890	1673660
1351	734530	1673338
1352	735157	1672986
1353	735885	1672861
1354	736513	1672511
1355	737150	1672178
1356	737829	1671943
1357	738454	1671581
1358	739081	1671225
1359	739845	1671180
1360	740681	1671295
1361	741401	1671147
1362	741900	1670501
1363	742508	1670100
1364	743028	1669501
1365	743576	1668964
1366	744215	1668633
1367	744847	1668285
1368	745354	1667655
1369	745894	1667100
1370	746416	1666507
1371	746963	1665967
1372	747448	1665291
1373	748048	1664870
1374	748590	1664320
1375	749131	1663767
1376	749690	1663256
1377	750296	1662849
1378	750798	1662210
1379	751330	1661637
1380	751820	1660972
1381	752411	1660532
1382	752945	1659963
1383	753557	1659568
1384	754180	1659197
1385	754722	1658647
1386	755232	1658027
1387	755826	1657589
1388	756373	1657051
1389	757011	1656711
1390	757563	1656184
1391	758195	1655828
1392	758819	1655456
1393	759424	1655044
1394	759936	1654428
1395	760598	1654137
1396	761136	1653579
1397	761756	1653196
1398	762270	1652584
1399	762825	1652062
1400	763466	1651725
1401	763968	1651087
1402	764573	1650673
1403	765180	1650260
1404	765882	1650053
1405	766600	1649880
1406	767272	1649608
1407	767867	1649169
1408	768413	1648624
1409	769118	1648422
1410	769674	1647898
1411	770331	1647592
1412	771078	1647476
1413	771592	1646863
1414	772176	1646399
1415	772978	1646400
1416	773541	1645891
1417	774079	1645328
1418	774689	1644917
1419	775352	1644620
1420	775975	1644237
1421	776535	1643722
1422	777086	1643186
1423	777655	1642688
1424	778301	1642353
1425	778837	1641784
1426	779337	1641140
1427	779994	1640828
1428	780590	1640386
1429	781153	1639875
1430	781647	1639221
1431	782227	1638744
1432	782931	1638528
1433	783580	1638196
1434	784142	1637682
1435	784769	1637304
1436	785257	1636635
1437	785936	1636364
1438	786517	1635890
1439	787215	1635658
1440	787749	1635086
1441	788299	1634546
1442	788900	1634112
1443	789490	1633655
1444	790007	1633045
1445	790651	1632699
1446	791461	1632697
1447	792032	1632198
1448	792594	1631683
1449	793159	1631173
1450	793677	1630566
1451	794227	1630025
1452	794823	1629579
1453	795317	1628924
1454	795846	1628339
1455	796408	1627823
1456	796982	1627332
1457	797530	1626786
1458	798226	1626543
1459	798868	1626189
1460	799418	1625648
1461	799972	1625115
1462	800536	1624601
1463	801047	1623980
1464	801609	1623463
1465	802411	1623433
1466	803122	1623216
1467	803845	1623023
1468	804544	1622782
1469	805232	1622516
1470	806013	1622437
1471	806577	1621922
1472	807133	1621391
1473	807676	1620833
1474	808246	1620327
1475	808793	1619778
1476	809448	1619445
1477	810114	1619133
1478	810738	1618736
1479	811530	1618674
1480	812210	1618387
1481	812799	1617920
1482	813369	1617416
1483	813995	1617019
1484	814694	1616771
1485	815509	1616750
1486	816163	1616410
1487	816915	1616263
1488	817681	1616141
1489	818414	1615956
